"ID","sexo","cor","quela_h","quela_v","cara_h","cara_v","maturacao","data"
"M1","Male","b","17.8","5.2","9.8","5.8","RU",2023-05-20
"M2","Male","b",NA,NA,"9.3","5.7","ED",2023-05-20
"M3","Male","b","16.35","4.6","8.7","5.4","ED",2023-05-20
"M4","Male","b","16.25","5.05","8.8","5.7","DE",2023-05-20
"M5","Male","b","18.0","5.4","9.2","5.6","DE",2023-05-20
"M6","Male","b","17.7","5.3","9.6","5.95","DE",2023-05-20
"M7","Male","e","19.65","5.45","10.05","6.7","ED",2023-05-20
"M8","Male","e","20.2","5.4","10.6","6.4","ED",2023-05-20
"M9","Male","e","19.5","4.7","9.4","5.6","ED",2023-05-20
"M10","Male","e","20.8","5.1","10.2","6.6","ED",2023-05-20
"M11","Male","e","20.9","5","9.55","5.95","ED",2023-05-20
"M12","Male","e","16.5","5","9.2","5.8","ED",2023-05-20
"M13","Male","a","16.4","4.6","9.9","6.2","ED",2023-05-20
"M14","Male","a","18.6","5.25","9.7","6","ED",2023-05-20
"M15","Male","a","20.8","5.3","10.3","6.4","ED",2023-05-20
"M16","Male","a","21.4","5.9","10.7","6.1","ED",2023-05-20
"M17","Male","a","18.7","5.4","10","6.2","ED",2023-05-20
"M18","Male","a","18.2","5.1","9.7","5.75","ED",2023-05-20
"M19","Male","b","18.55","5.1","9.2","6","DE",2023-05-21
"M20","Male","b","21.1","5.4","11.1","7","DE",2023-05-21
"M21","Male","b","18.2","4.8","9.1","5.9","DE",2023-05-21
"M22","Male","b","18.8","5.7","9.8","5.8","RU",2023-05-21
"M23","Male","b","16.3","5","9","5.5","DE",2023-05-21
"M24","Male","e","14.75","4.4","8.8","5.5","RU",2023-05-21
"M25","Male","e","19.5","4.4","10.1","5.9","ED",2023-05-21
"M26","Male","e","19.3","5.2","9.8","5.7","ED",2023-05-21
"M27","Male","e","22","5.9","11","6.35","RU",2023-05-21
"M28","Male","e","16","4.9","9.3","5.7","DE",2023-05-21
"M29","Male","a","18.7","5.2","10.1","6","ED",2023-05-21
"M30","Male","a","17.7","4.9","9.5","6","RU",2023-05-21
"M31","Male","a","17.7","4.8","9.3","5.7","ED",2023-05-21
"M32","Male","a","19.7","6.75","10.8","6.6","ED",2023-05-21
"M33","Male","a","19.1","5.1","9.8","5.9","RU",2023-05-21
"M34","Male","b","15.76","4.80","8.77","5.79","DE",2023-06-05
"M35","Male","b","17.22","5.25","9.23","5","DE",2023-06-05
"M36","Male","b","16.30","4.43","8.06","4.88","DE",2023-06-05
"M37","Male","b","17.86","5.11","9.21","5.40","DE",2023-06-05
"M38","Male","b","17.63","4.72","8.88","5.35","ED",2023-06-05
"M39","Male","e","19.94","5.19","10.72","6.33","DE",2023-06-05
"M40","Male","e","17.60","5.03","9.33","5.82","RU",2023-06-05
"M41","Male","e","17.82","4.60","9.29","5.49","ED",2023-06-05
"M42","Male","e","19.91","5.05","10.05","5.87","DE",2023-06-05
"M43","Male","e","18.06","4.79","9.25","5.80","ED",2023-06-05
"M44","Male","a","17.75","5.04","9.30","5.53","ED",2023-06-05
"M45","Male","a","15.88","6.08","10.17","5.96","DE",2023-06-05
"M46","Male","a","18.00","4.88","9.66","5.36","ED",2023-06-05
"M47","Male","a","20.87","5.68","10.40","6.30","DE",2023-06-05
"M48","Male","a","16.84","4.66","9.26","5.50","DE",2023-06-05
"M49","Male","b","16.38","4.94","8.89","5.50","DE",2023-06-06
"M50","Male","b","21.96","5.25","9.28","5.27","DE",2023-06-06
"M51","Male","b","16.62","4.66","8.29","4.59","DE",2023-06-06
"M52","Male","b","15.52","4.62","7.72","4.65","DE",2023-06-06
"M53","Male","b","18.30","5.09","8.56","5.16","DE",2023-06-06
"M54","Male","e","17.91","5.20","8.36","5.13","DE",2023-06-06
"M55","Male","e","18.56","4.85","9.03","5.48","ED",2023-06-06
"M56","Male","e","19.40","5.33","9.00","5.05","ED",2023-06-06
"M57","Male","e","16.08","4.80","8.09","4.54","ED",2023-06-06
"M58","Male","e","19.22","5.23","8.78","5.54","ED",2023-06-06
"M59","Male","a","18.03","4.98","8.94","5.12","ED",2023-06-06
"M60","Male","a","16.59","4.96","8.59","5.22","RU",2023-06-06
"M61","Male","a","18.92","5.49","9.22","5.37","RU",2023-06-06
"M62","Male","a","14.15","4.67","8.27","4.44","RU",2023-06-06
"M63","Male","a","16.34","4.98","8.53","4.90","ED",2023-06-06
"M64","Male","b","20.04","5.6","9.0500000000000007","5.83","DE",2023-06-19
"M65","Male","b","18.52","4.43","8.11","4.71","DE",2023-06-19
"M66","Male","b","17.55","4.67","7.42","7.74","ED",2023-06-19
"M67","Male","b","17.75","4.82","8.84","4.9400000000000004","DE",2023-06-19
"M68","Male","b","23.58","5.35","9.9499999999999993","6.14","DE",2023-06-19
"M69","Male","e","15.19","4.1900000000000004","7.62","4.3899999999999997","DE",2023-06-19
"M70","Male","e","17.79","5.38","8.83","5.32","DE",2023-06-19
"M71","Male","e","12.75","4.26","7.52","4.8899999999999997","DE",2023-06-19
"M72","Male","e","16.72","4.7300000000000004","8.23","4.75","ED",2023-06-19
"M73","Male","e","19.420000000000002","5.42","9.26","5.62","ED",2023-06-19
"M74","Male","a","20.25","5.59","10.039999999999999","5.68","DE",2023-06-19
"M75","Male","a","21.03","5.14","9.25","5.44","ED",2023-06-19
"M76","Male","a","18.38","4.91","8.6","5.08","ED",2023-06-19
"M77","Male","a","20.07","5.48","9.31","5.99","ED",2023-06-19
"M78","Male","a","19.93","5.13","9.24","5.51","DE",2023-06-19
"M79","Male","a","19.649999999999999","5.56","9.76","5.64","ED",2023-06-20
"M80","Male","a","20.68","4.49","10.34","5.74","DE",2023-06-20
"M81","Male","a","21.1","5.67","9.9499999999999993","6.71","RU",2023-06-20
"M82","Male","a","16.690000000000001","5.2","9.09","4.95","DE",2023-06-20
"M83","Male","b","18.2","5.18","9.2899999999999991","5.09","ED",2023-06-20
"M84","Male","b","16.239999999999998","5.03","8.89","5.41","DE",2023-06-20
"M85","Male","b","18.39","5.01","9.32","5.34","DE",2023-06-20
"M86","Male","b","19.02","5.33","8.94","5.2","DE",2023-06-20
"M87","Male","e","18.760000000000002","5.71","10.19","5.66","DE",2023-06-20
"M88","Male","e","20.100000000000001","4.93","9.83","5.32","RU",2023-06-20
"M89","Male","e","19.53","5.0199999999999996","9.58","5.56","RU",2023-06-20
"M90","Male","e","17.89","5.34","9.4700000000000006","5.17","ED",2023-06-20
"F91","Female","b",NA,NA,"9.86","6.14","DE",2023-06-21
"F92","Female","b",NA,NA,"8","5.26","DE",2023-06-21
"F93","Female","b",NA,NA,"7.39","4.13","RU",2023-06-21
"F94","Female","b",NA,NA,"7.95","4.99","RU",2023-06-21
"F95","Female","b",NA,NA,"6.78","4.4400000000000004","DE",2023-06-21
"F96","Female","b",NA,NA,"8.64","5.4","RU",2023-06-21
"F97","Female","e",NA,NA,"8.8000000000000007","5.52","RU",2023-06-21
"F98","Female","e",NA,NA,"9.7799999999999994","5.01","RU",2023-06-21
"F99","Female","e",NA,NA,"8.1300000000000008","4.3899999999999997","RU",2023-06-21
"F100","Female","e",NA,NA,"8.5299999999999994","4.88","ED",2023-06-21
"F101","Female","e",NA,NA,"7.04","4.1900000000000004","RU",2023-06-21
"F102","Female","e",NA,NA,"7.34","4.1900000000000004","RU",2023-06-21
"F103","Female","e",NA,NA,"10.29","5.45","ED",2023-06-21
"F104","Female","b",NA,NA,"6.86","3.76","RU",2023-07-01
"F105","Female","b",NA,NA,"7.38","4.26","RU",2023-07-01
"F106","Female","b",NA,NA,"9.17","5.0599999999999996","ED",2023-07-01
"F107","Female","b",NA,NA,"7.2","4.16","RU",2023-07-01
"F108","Female","b",NA,NA,"7.25","3.85","RU",2023-07-01
"F109","Female","b",NA,NA,"7.2","3.84","RU",2023-07-01
"F110","Female","b",NA,NA,"7.73","4.3499999999999996","RU",2023-07-01
"F111","Female","b",NA,NA,"6.75","3.78","RU",2023-07-01
"F112","Female","e",NA,NA,"8.8000000000000007","4.97","ED",2023-07-01
"F113","Female","e",NA,NA,"8.2100000000000009","4.4400000000000004","RU",2023-07-01
"F114","Female","e",NA,NA,"10.01","5.99","DE",2023-07-01
"F115","Female","e",NA,NA,"9.26","5.0599999999999996","RU",2023-07-01
"F116","Female","e",NA,NA,"7.63","3.89","RU",2023-07-01
"F117","Female","e",NA,NA,"9.5299999999999994","4.66","ED",2023-07-01
"F118","Female","e",NA,NA,"9.0399999999999991","4.95","DE",2023-07-01
"F119","Female","e",NA,NA,"7.39","4.26","RU",2023-07-01
"F120","Female","b",NA,NA,"10.050000000000001","5.65","RU",2023-07-02
"F121","Female","b",NA,NA,"7.73","4.29","RU",2023-07-02
"F122","Female","b",NA,NA,"6.82","3.66","RU",2023-07-02
"F123","Female","b",NA,NA,"8.0500000000000007","4.24","RU",2023-07-02
"F124","Female","b",NA,NA,"7.69","4.2699999999999996","RU",2023-07-02
"F125","Female","b",NA,NA,"8.2100000000000009","4.47","RU",2023-07-02
"F126","Female","b",NA,NA,"7.32","4.09","RU",2023-07-02
"F127","Female","b",NA,NA,"7.46","3.84","RU",2023-07-02
"F128","Female","e",NA,NA,"8.9499999999999993","4.8899999999999997","ED",2023-07-02
"F129","Female","e",NA,NA,"9.2100000000000009","5.0999999999999996","DE",2023-07-02
"F130","Female","e",NA,NA,"9.9700000000000006","5.82","RU",2023-07-02
"F131","Female","e",NA,NA,"9.33","4.87","ED",2023-07-02
"F132","Female","e",NA,NA,"7.92","3.95","RU",2023-07-02
"F133","Female","e",NA,NA,"8.16","4.6500000000000004","ED",2023-07-02
"F134","Female","e",NA,NA,"8.51","4.4000000000000004","RU",2023-07-02
"F135","Female","e",NA,NA,"7.64","4.58","RU",2023-07-02
"F136","Female","b",NA,NA,"8.65","4.75","RU",2023-07-03
"F137","Female","b",NA,NA,"8.33","4.68","DE",2023-07-03
"F138","Female","b",NA,NA,"7.98","4.21","RU",2023-07-03
"F139","Female","b",NA,NA,"8.3800000000000008","4.3","RU",2023-07-03
"F140","Female","b",NA,NA,"8.93","4.9000000000000004","RU",2023-07-03
"F141","Female","b",NA,NA,"7.79","4.4400000000000004","RU",2023-07-03
"F142","Female","b",NA,NA,"7.39","4.18","RU",2023-07-03
"F143","Female","b",NA,NA,"9.32","4.93","RU",2023-07-03
"F144","Female","e",NA,NA,"9.2799999999999994","5.29","RU",2023-07-03
"F145","Female","e",NA,NA,"8.44","4.91","RU",2023-07-03
"F146","Female","e",NA,NA,"8.3000000000000007","4.3","RU",2023-07-03
"F147","Female","e",NA,NA,"9.85","5.08","DE",2023-07-03
"F148","Female","e",NA,NA,"9.3000000000000007","4.93","ED",2023-07-03
"F149","Female","e",NA,NA,"9.17","4.8899999999999997","DE",2023-07-03
"F150","Female","e",NA,NA,"8.35","4.79","RU",2023-07-03
"F151","Female","e",NA,NA,"7.8","4.25","RU",2023-07-03
"F152","Female","b",NA,NA,"9.23","4.8600000000000003","DE",2023-07-04
"F153","Female","b",NA,NA,"8.4600000000000009","4.92","RU",2023-07-04
"F154","Female","b",NA,NA,"7.63","4.38","RU",2023-07-04
"F155","Female","b",NA,NA,"10.16","5.56","RU",2023-07-04
"F156","Female","b",NA,NA,"8.51","4.75","RU",2023-07-04
"F157","Female","b",NA,NA,"10.23","5.62","RU",2023-07-04
"F158","Female","b",NA,NA,"7.15","4.05","RU",2023-07-04
"F159","Female","b",NA,NA,"9.3800000000000008","5.08","RU",2023-07-04
"F160","Female","e",NA,NA,"7.15","3.96","RU",2023-07-04
"F161","Female","e",NA,NA,"7.35","4.1100000000000003","RU",2023-07-04
"F162","Female","e",NA,NA,"8.6999999999999993","4.5","RU",2023-07-04
"F163","Female","e",NA,NA,"8.82","4.92","RU",2023-07-04
"F164","Female","e",NA,NA,"8.07","4.4800000000000004","RU",2023-07-04
"F165","Female","e",NA,NA,"7.56","3.98","RU",2023-07-04
"F166","Female","e",NA,NA,"7.68","4.16","RU",2023-07-04
"F167","Female","e",NA,NA,"7.7","4.24","RU",2023-07-04
