"ID","claw_size","carapace_size","claw_type","carapace_color","autotomy","autotomy_latency","autotomy_trial","autotomy_exp_type","force1","force2","force3","max_force","weight_mg","weight_g","data"
"ll_131",16.34,9.04,"lepto","e","no",NA,NA,"by_time",0.11,0.04,0.05,0.11,0.0416,41.6,"02v2022"
"ll_132",16.53,10.03,"brachy","b","no",NA,NA,"by_time",0.18,0.47,2.22,2.22,0.0379,37.9,"02v2022"
"ll_133",17.07,9.18,"brachy","e","no",NA,NA,"by_time",9.25,2.32,5.75,9.25,0.0484,48.4,"02v2022"
"ll_134",18.06,9.41,"brachy","b","no",NA,NA,"by_time",3,10.94,4.41,10.94,0.0563,56.3,"02v2022"
"ll_135",22.69,11.84,"brachy","e","no",NA,NA,"by_time",1.49,1.28,0.19,1.49,0.1104,110.4,"02v2022"
"ll_136",17.48,10.07,"brachy","b","no",NA,NA,"by_time",8.63,0.56,2.83,8.63,0.0687,68.7,"02v2022"
"ll_137",19.41,9.55,"brachy","e","no",NA,NA,"by_time",2.78,3.79,2.65,3.79,0.0608,60.8,"02v2022"
"ll_138",20.63,9.59,"brachy","b","no",NA,NA,"by_time",14.27,12.52,0.15,14.27,0.0786,78.6,"13vi2022"
"ll_139",14.87,8.88,"brachy","e","no",NA,NA,"by_time",2.19,5.19,0.05,5.19,0.0438,43.8,"13vi2022"
"ll_140",20.82,10.34,"brachy","b","no",NA,NA,"by_time",3.14,15.17,0.69,15.17,0.0793,79.3,"13vi2022"
"ll_141",16.79,10.19,"lepto","e","no",NA,NA,"by_time",0.07,0.1,0.22,0.22,0.0241,24.1,"13vi2022"
"ll_142",18.82,9.38,"brachy","b","no",NA,NA,"by_time",3.02,9.69,10.69,10.69,0.0667,66.7,"13vi2022"
"ll_143",17.2,9.39,"brachy","e","no",NA,NA,"by_time",8.63,1,0.04,8.63,0.0554,55.4,"13vi2022"
"ll_144",17.92,9.87,"brachy","b","no",NA,NA,"by_time",0.8,1,0.04,1,0.0614,61.4,"13vi2022"
"ll_145",20.61,10.15,"lepto","e","no",NA,NA,"by_time",0.05,0.04,0.06,0.06,0.0208,20.8,"13vi2022"
"ll_146",19.21,9.95,"brachy","b","no",NA,NA,"by_time",3.58,0.88,0.12,3.58,0.0717,71.7,"13vi2022"
"ll_147",15.44,9.83,"lepto","e","no",NA,NA,"by_time",2.22,0.42,0.07,2.22,0.0313,31.3,"13vi2022"
"ll_148",19.16,10.05,"brachy","b","no",NA,NA,"by_time",11.26,7.62,0.1,11.26,0.0736,73.6,"13vi2022"
"ll_149",21.79,10.65,"lepto","e","no",NA,NA,"by_time",0.29,0.18,0.05,0.29,0.0424,42.4,"13vi2022"
"ll_150",18.54,9.9,"lepto","b","no",NA,NA,"by_time",1.51,0.11,0.07,1.51,0.0494,49.4,"13vi2022"
"ll_151",18.84,9.87,"brachy","e","no",NA,NA,"by_time",5.23,0.75,8.63,8.63,0.061,61,"13vi2022"
"ll_152",18.3,9.33,"lepto","b","no",NA,NA,"by_time",0.87,0.14,4.2,4.2,0.0488,48.8,"13vi2022"
"ll_153",18.47,9.56,"brachy","e","no",NA,NA,"by_time",0.11,0.13,0.09,0.13,0.0187,18.7,"13vi2022"
"ll_154",17.33,9.8,"brachy","b","yes",28,NA,"by_time",8.88,8.77,9.04,9.04,0.0508,50.8,"13vi2022"
"ll_155",17.38,9.09,"brachy","e","no",NA,NA,"by_time",0.2,0.11,0.1,0.2,0.0251,25.1,"13vi2022"
"ll_156",23.05,10.5,"brachy","b","no",NA,NA,"by_time",1.6,0.45,0.21,1.6,0.0874,87.4,"14vi2022"
"ll_157",18.14,10.65,"brachy","e","no",NA,NA,"by_time",9.44,0.72,0.09,9.44,0.0651,65.1,"14vi2022"
"ll_158",22.37,10.16,"brachy","b","no",NA,NA,"by_time",2.1,0.57,0.19,2.1,0.0795,79.5,"14vi2022"
"ll_159",21.1,10.51,"brachy","e","no",NA,NA,"by_time",0.94,0.58,1,1,0.07,70,"14vi2022"
"ll_160",20.15,10.49,"brachy","b","no",NA,NA,"by_time",14.55,0.17,0.38,14.55,0.0681,68.1,"14vi2022"
"ll_161",18.5,10.06,"lepto","e","no",NA,NA,"by_time",1.1,0.33,0.03,1.1,0.0504,50.4,"14vi2022"
"ll_162",20.78,9.94,"brachy","b","yes",60,NA,"by_time",7.88,2.21,3.09,7.88,0.0718,71.8,"14vi2022"
"ll_163",19.58,10.36,"brachy","e","no",NA,NA,"by_time",7.52,1.51,0.22,7.52,0.0697,69.7,"14vi2022"
"ll_164",18.7,9.13,"brachy","b","no",NA,NA,"by_time",7.4,4.84,0.01,7.4,0.0651,65.1,"14vi2022"
"ll_165",18.44,9.58,"brachy","e","no",NA,NA,"by_time",7.58,0.54,0.54,7.58,0.0505,50.5,"14vi2022"
"ll_166",17.44,9.2,"brachy","b","no",NA,NA,"by_time",3.6,1.75,0.35,3.6,0.0572,57.2,"14vi2022"
"ll_167",20.86,10.46,"lepto","e","no",NA,NA,"by_time",0.6,0.45,0.46,0.6,0.0571,57.1,"14vi2022"
"ll_168",20.2,10.87,"lepto","b","no",NA,NA,"by_time",2.19,1.09,1.05,2.19,0.0571,57.1,"14vi2022"
"ll_169",20.32,10.06,"brachy","e","no",NA,NA,"by_time",7.53,1.65,0.19,7.53,0.0504,50.4,"14vi2022"
"ll_170",21.94,10.26,"lepto","b","no",NA,NA,"by_time",2.35,3.94,0.83,3.94,0.0617,61.7,"14vi2022"
"ll_171",19.76,10.36,"brachy","e","no",NA,NA,"by_time",4.57,0.36,0.32,4.57,0.0543,54.3,"14vi2022"
"ll_172",19.01,8.59,"brachy","b","no",NA,NA,"by_time",2.9,1.95,8.04,8.04,0.055,55,"14vi2022"
"ll_173",16.5,9.07,"brachy","e","no",NA,NA,"by_time",3.04,7.76,2.89,7.76,0.0387,38.7,"14vi2022"
"ll_174",20.04,10.68,"lepto","b","no",NA,NA,"by_time",2.22,0.41,0.21,2.22,0.0535,53.5,"15vi2022"
"ll_175",21.14,10.22,"brachy","e","no",NA,NA,"by_time",0.29,0.19,0.09,0.29,0.0602,60.2,"15vi2022"
"ll_176",20.72,10.32,"brachy","b","no",NA,NA,"by_time",3.27,7.47,0.78,7.47,0.0681,68.1,"15vi2022"
"ll_177",19.07,9.92,"brachy","e","no",NA,NA,"by_time",7.15,0.18,0.06,7.15,0.0533,53.3,"15vi2022"
"ll_178",22.34,10.56,"lepto","b","no",NA,NA,"by_time",3.79,0.3,0.88,3.79,0.0543,54.3,"15vi2022"
"ll_179",18.07,9.29,"brachy","e","no",NA,NA,"by_time",0.49,0.93,0.46,0.93,0.0308,30.8,"15vi2022"
"ll_180",17.98,9.26,"brachy","b","no",NA,NA,"by_time",6.43,1.14,4.41,6.43,0.0558,55.8,"15vi2022"
"ll_181",17.92,9.31,"brachy","e","no",NA,NA,"by_time",3.41,0.66,0.35,3.41,0.0515,51.5,"15vi2022"
"ll_182",21.04,10.48,"brachy","b","no",NA,NA,"by_time",7.01,0.88,0.57,7.01,0.0645,64.5,"15vi2022"
"ll_183",16.47,9.03,"brachy","e","no",NA,NA,"by_time",0.74,2.63,0.38,2.63,0.0341,34.1,"15vi2022"
"ll_184",17.92,9.74,"lepto","b","no",NA,NA,"by_time",0.1,0.08,1.52,1.52,0.0493,49.3,"15vi2022"
"ll_185",21.47,10.1,"brachy","e","no",NA,NA,"by_time",3.36,0.01,0.14,3.36,0.0591,59.1,"15vi2022"
"ll_186",17.53,9.22,"brachy","b","no",NA,NA,"by_time",1.65,0.1,0.12,1.65,0.0274,27.4,"15vi2022"
"ll_187",15.62,9.17,"lepto","e","no",NA,NA,"by_time",1.83,2.41,0.59,2.41,0.0374,37.4,"15vi2022"
"ll_188",17.78,9.34,"brachy","b","no",NA,NA,"by_time",7.68,1.44,1.01,7.68,0.0569,56.9,"15vi2022"
"ll_189",17.11,8.77,"brachy","e","no",NA,NA,"by_time",2.65,10.69,0.6,10.69,0.0465,46.5,"15vi2022"
"ll_190",17.55,9.19,"brachy","b","no",NA,NA,"by_time",3.82,0.2,0.69,3.82,0.0661,66.1,"15vi2022"
"ll_191",16.59,9.16,"brachy","e","no",NA,NA,"by_time",12.31,1.64,0.26,12.31,0.0405,40.5,"15vi2022"
"ll_192",19.8,10.41,"brachy","b","no",NA,NA,"by_time",15.25,1.29,0.18,15.25,0.0632,63.2,"15vi2022"
"ll_193",20.35,9.89,"lepto","e","no",NA,NA,"by_time",0.28,0.85,7.58,7.58,0.0566,56.6,"15vi2022"
"ll_194",19.4,9.68,"brachy","b","no",NA,NA,"by_time",9.37,1.1,8.51,9.37,0.0606,60.6,"15vi2022"
"ll_195",19.34,9.71,"brachy","e","no",NA,NA,"by_time",2.97,1.52,0.11,2.97,0.0572,57.2,"15vi2022"
"ll_196",17.57,9.71,"brachy","b","no",NA,NA,"by_time",2.35,3.94,3.07,3.94,0.0591,59.1,"15vi2022"
"ll_197",15.66,9.04,"brachy","e","no",NA,NA,"by_time",1.89,0.99,0.15,1.89,0.0403,40.3,"15vi2022"
"ll_198",18.47,9.52,"brachy","b","no",NA,NA,"by_time",11.42,0.28,1.72,11.42,0.0607,60.7,"15vi2022"
"ll_199",15.06,10.24,"lepto","e","no",NA,NA,"by_time",3.1,2.09,2.51,3.1,0.033,33,"15vi2022"
"ll_200",17.79,9.98,"brachy","b","yes",7,NA,"by_time",8.07,6.84,7.13,8.07,0.0593,59.3,"15vi2022"
"ll_201",23.21,10.8,"brachy","e","no",NA,NA,"by_time",3.89,0.49,0.5,3.89,0.0882,88.2,"26vii2022"
"ll_202",19.37,9.46,"brachy","b","no",NA,NA,"by_time",1.52,3.11,6.24,6.24,0.0678,67.8,"26vii2022"
"ll_203",21.28,10.52,"brachy","e","no",NA,NA,"by_time",6.15,11.13,0.4,11.13,0.097,97,"26vii2022"
"ll_204",19.73,8.98,"brachy","b","no",NA,NA,"by_time",1.15,0.53,0.45,1.15,0.0748,74.8,"26vii2022"
"ll_205",20.3,9.88,"brachy","e","no",NA,NA,"by_time",2.25,9.73,3.23,9.73,0.0796,79.6,"26vii2022"
"ll_206",18.19,10,"lepto","b","no",NA,NA,"by_time",0.61,1.09,0.75,1.09,0.05,50,"26vii2022"
"ll_207",17.15,9.45,"brachy","e","no",NA,NA,"by_time",0.94,2.16,0.29,2.16,0.0465,46.5,"26vii2022"
"ll_208",19.92,9.57,"brachy","b","no",NA,NA,"by_time",9.63,0.24,0.52,9.63,0.0719,71.9,"26vii2022"
"ll_209",17.37,8.69,"brachy","e","no",NA,NA,"by_time",4.82,2.23,1.94,4.82,0.0442,44.2,"26vii2022"
"ll_210",18.03,8.92,"brachy","b","no",NA,NA,"by_time",9.33,1.85,1.15,9.33,0.0707,70.7,"26vii2022"
"ll_211",17.55,9.06,"brachy","e","no",NA,NA,"by_time",1.84,1.31,0.35,1.84,0.0465,46.5,"26vii2022"
"ll_212",19.89,8.62,"brachy","b","no",NA,NA,"by_time",0.86,1.73,5.28,5.28,0.0804,80.4,"26vii2022"
"ll_213",17.98,9.39,"brachy","e","no",NA,NA,"by_time",9.62,11.81,0.23,11.81,0.065,65,"26vii2022"
"ll_214",19.09,9.39,"brachy","b","no",NA,NA,"by_time",2.84,3.98,2.78,3.98,0.0665,66.5,"26vii2022"
"ll_215",16.79,8.29,"brachy","e","yes",38,NA,"by_time",1.25,0.75,0.51,1.25,0.0516,51.6,"26vii2022"
"ll_216",19.87,9.51,"brachy","b","no",NA,NA,"by_time",0.48,0.11,3.98,3.98,0.0617,61.7,"26vii2022"
"ll_217",16.58,7.94,"lepto","e","no",NA,NA,"by_time",0.76,2.19,0.16,2.19,0.0348,34.8,"26vii2022"
"ll_218",18.14,8.67,"brachy","b","no",NA,NA,"by_time",8.51,0.18,1.9,8.51,0.0661,66.1,"26vii2022"
"ll_219",16.21,9.13,"brachy","e","yes",0,NA,"by_time",12.72,6.98,0.08,12.72,0.0475,47.5,"26vii2022"
"ll_220",16.39,7.94,"brachy","b","no",NA,NA,"by_time",1.81,6.88,3.46,6.88,0.0455,45.5,"26vii2022"
"ll_221",20.43,9.93,"brachy","e","no",NA,NA,"by_time",2.75,2.81,0.25,2.81,0.0576,57.6,"27vii2022"
"ll_222",22.59,10.46,"brachy","b","no",NA,NA,"by_time",1.58,4.52,0.94,4.52,0.099,99,"27vii2022"
"ll_223",21.27,10.95,"brachy","e","no",NA,NA,"by_time",9.57,11.07,8.07,11.07,0.0787,78.7,"27vii2022"
"ll_224",22.27,10.91,"lepto","b","no",NA,NA,"by_time",0.8,0.18,0.3,0.8,0.0648,64.8,"27vii2022"
"ll_225",20.21,10.58,"brachy","e","no",NA,NA,"by_time",0.74,1.05,7.71,7.71,0.0611,61.1,"27vii2022"
"ll_226",19.45,9.48,"brachy","b","no",NA,NA,"by_time",0.37,0.18,0.45,0.45,0.0763,76.3,"27vii2022"
"ll_227",16.95,9.89,"lepto","e","no",NA,2,"by_time",0.35,0.29,0.17,0.35,0.0347,34.7,"27vii2022"
"ll_228",19.04,9.56,"brachy","b","no",NA,49,"by_trial",1.53,1.15,9.94,9.94,0.0663,66.3,"27vii2022"
"ll_229",16.92,8.61,"brachy","e","no",NA,82,"by_trial",10.92,8.37,8.2,10.92,0.0437,43.7,"27vii2022"
"ll_230",17.86,9.22,"brachy","b","no",NA,44,"by_trial",0.31,0.39,1.71,1.71,0.0588,58.8,"27vii2022"
"ll_231",21.14,9.93,"brachy","e","no",NA,100,"by_trial",16.53,0.28,0.15,16.53,0.0712,71.2,"27vii2022"
"ll_232",19.59,9.34,"brachy","b","no",NA,39,"by_trial",8.67,12.13,2.11,12.13,0.0653,65.3,"27vii2022"
"ll_233",22.92,10.54,"brachy","e","no",NA,10,"by_trial",1.56,0.51,0.31,1.56,0.0741,74.1,"27vii2022"
"ll_234",19.01,9.68,"brachy","b","no",NA,58,"by_trial",2.72,1.39,NA,2.72,0.0649,64.9,"27vii2022"
"ll_235",18.96,9.63,"brachy","e","no",NA,NA,"by_trial",15.33,0.26,0.45,15.33,0.0757,75.7,"27vii2022"
"ll_236",21.73,10.95,"brachy","b","no",NA,NA,"by_trial",0.25,0.27,0.11,0.27,0.0645,64.5,"27vii2022"
"ll_237",19.77,10.32,"brachy","e","no",NA,NA,"by_trial",1.67,4.1,6.83,6.83,0.0506,50.6,"27vii2022"
"ll_238",19.21,9.45,"brachy","b","no",NA,36,"by_trial",15.56,15.05,1.75,15.56,0.0632,63.2,"27vii2022"
"ll_239",16.85,9.65,"brachy","e","no",NA,NA,"by_trial",9.04,1.93,1.21,9.04,0.0502,50.2,"27vii2022"
"ll_240",20.26,9.95,"brachy","b","no",NA,3,"by_trial",2.22,0.24,0.19,2.22,0.0566,56.6,"27vii2022"
"ll_241",22.04,10.96,"brachy","e","no",NA,3,"by_trial",3.56,5.63,1.97,5.63,NA,NA,"27vii2022"
"ll_242",17.12,9.1,"brachy","b","no",NA,18,"by_trial",0.17,0.82,7.4,7.4,0.0553,55.3,"27vii2022"
"ll_243",17.24,9.07,"brachy","e","no",NA,NA,"by_trial",1.54,0.33,0.35,1.54,0.0451,45.1,"27vii2022"
"ll_244",19.33,9.71,"brachy","b","no",NA,98,"by_trial",2,0.72,0.72,2,0.0708,70.8,"27vii2022"
"ll_245",17.45,10.04,"brachy","e","no",NA,1,"by_trial",3.46,2.94,0.56,3.46,0.0468,46.8,"27vii2022"
"ll_246",20,10.1,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_247",19.6,9.9,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_248",21.1,10.4,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_249",20.9,10.6,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_250",21.9,11.2,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_251",18.9,9.7,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_252",18.1,9.6,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_253",21.7,10.3,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_254",19,10.1,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_255",17.1,7.9,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_256",15.2,9.1,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_257",17.9,9.6,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_258",18.2,9.6,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_259",11.2,7.6,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_260",21.6,10.1,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_261",18.1,9,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_262",12.6,8,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_263",14.9,8.5,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_264",17.8,9.8,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
"ll_265",16.6,8.9,"brachy","r",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16xi2024"
